INFO     | 2015-05-07 15:59:45,038 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2015-05-08 13:49:46,016 | progress   | Finished subset 32/73, 43.84 percent done
INFO     | 2015-05-08 13:56:42,552 | progress   | Finished subset 33/73, 45.21 percent done
INFO     | 2015-05-08 14:02:09,907 | progress   | Finished subset 34/73, 46.58 percent done
INFO     | 2015-05-08 14:07:49,275 | progress   | Finished subset 35/73, 47.95 percent done
INFO     | 2015-05-08 14:11:35,076 | progress   | Finished subset 36/73, 49.32 percent done
INFO     | 2015-05-08 14:15:29,164 | progress   | Finished subset 37/73, 50.68 percent done
INFO     | 2015-05-08 14:18:36,827 | progress   | Finished subset 38/73, 52.05 percent done
INFO     | 2015-05-08 14:21:39,409 | progress   | Finished subset 39/73, 53.42 percent done
INFO     | 2015-05-08 14:24:43,669 | progress   | Finished subset 40/73, 54.79 percent done
INFO     | 2015-05-08 14:27:19,269 | progress   | Finished subset 41/73, 56.16 percent done
INFO     | 2015-05-08 14:29:50,636 | progress   | Finished subset 42/73, 57.53 percent done
INFO     | 2015-05-08 14:32:27,751 | progress   | Finished subset 43/73, 58.90 percent done
INFO     | 2015-05-08 14:35:06,332 | progress   | Finished subset 44/73, 60.27 percent done
INFO     | 2015-05-08 14:37:01,103 | progress   | Finished subset 45/73, 61.64 percent done
INFO     | 2015-05-08 14:37:01,128 | method     | ***Greedy algorithm step 2***
INFO     | 2015-05-08 14:47:29,889 | progress   | Finished subset 46/73, 63.01 percent done
INFO     | 2015-05-08 14:55:53,765 | progress   | Finished subset 47/73, 64.38 percent done
INFO     | 2015-05-08 15:03:57,313 | progress   | Finished subset 48/73, 65.75 percent done
INFO     | 2015-05-08 15:12:41,711 | progress   | Finished subset 49/73, 67.12 percent done
INFO     | 2015-05-08 15:20:11,020 | progress   | Finished subset 50/73, 68.49 percent done
INFO     | 2015-05-08 15:27:46,487 | progress   | Finished subset 51/73, 69.86 percent done
INFO     | 2015-05-08 15:35:22,863 | progress   | Finished subset 52/73, 71.23 percent done
INFO     | 2015-05-08 15:35:22,893 | method     | ***Greedy algorithm step 3***
INFO     | 2015-05-08 15:43:27,789 | progress   | Finished subset 53/73, 72.60 percent done
INFO     | 2015-05-08 15:49:16,769 | progress   | Finished subset 54/73, 73.97 percent done
INFO     | 2015-05-08 15:54:45,187 | progress   | Finished subset 55/73, 75.34 percent done
INFO     | 2015-05-08 16:05:01,515 | progress   | Finished subset 56/73, 76.71 percent done
INFO     | 2015-05-08 16:09:48,919 | progress   | Finished subset 57/73, 78.08 percent done
INFO     | 2015-05-08 16:14:39,687 | progress   | Finished subset 58/73, 79.45 percent done
INFO     | 2015-05-08 16:14:39,713 | method     | ***Greedy algorithm step 4***
INFO     | 2015-05-08 16:20:49,456 | progress   | Finished subset 59/73, 80.82 percent done
INFO     | 2015-05-08 16:24:33,322 | progress   | Finished subset 60/73, 82.19 percent done
INFO     | 2015-05-08 16:28:08,026 | progress   | Finished subset 61/73, 83.56 percent done
INFO     | 2015-05-08 16:34:02,981 | progress   | Finished subset 62/73, 84.93 percent done
INFO     | 2015-05-08 16:42:40,538 | progress   | Finished subset 63/73, 86.30 percent done
INFO     | 2015-05-08 16:42:40,541 | method     | ***Greedy algorithm step 5***
INFO     | 2015-05-08 16:50:34,481 | progress   | Finished subset 64/73, 87.67 percent done
INFO     | 2015-05-08 16:58:02,767 | progress   | Finished subset 65/73, 89.04 percent done
INFO     | 2015-05-08 17:10:35,770 | progress   | Finished subset 66/73, 90.41 percent done
INFO     | 2015-05-08 17:20:42,353 | progress   | Finished subset 67/73, 91.78 percent done
INFO     | 2015-05-08 17:20:42,357 | method     | ***Greedy algorithm step 6***
INFO     | 2015-05-08 17:30:42,724 | progress   | Finished subset 68/73, 93.15 percent done
INFO     | 2015-05-08 17:38:37,788 | progress   | Finished subset 69/73, 94.52 percent done
INFO     | 2015-05-08 17:48:01,430 | progress   | Finished subset 70/73, 95.89 percent done
INFO     | 2015-05-08 17:48:01,471 | method     | Greedy algorithm finished after 6 steps
INFO     | 2015-05-08 17:48:01,471 | method     | Highest scoring scheme is scheme step_5, with bic score of 1840721.948
INFO     | 2015-05-08 17:48:01,472 | reporter   | Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2015-05-08 17:48:01,474 | main       | Total processing time: 6:10:50 (h:m:s)
INFO     | 2015-05-08 17:48:01,475 | main       | Processing complete.
